city,country,latitude,longitude,temperature,humidity (%),cloudiness (%),wind_speed (kmph)
miranorte,br,,,,,,
alakurtti,ru,66,30,-2,92,88,1
fujin,cn,47,132,-22,67,0,4
lazarev,ru,52,141,-16,58,0,6
ligayan,ph,4,119,28,100,12,3
san rafael,ar,-34,-68,22,15,0,5
chishtian mandi,pk,29,72,13,96,56,3
bima,id,-8,118,26,97,12,0
vaasa,fi,63,21,3,93,80,4
campohermoso,co,36,-2,11,93,0,1
ca mau,vn,9,105,26,91,44,4
shitkino,ru,56,98,-25,64,76,1
irtyshskiy,ru,58,68,-16,71,36,1
pasighat,in,28,95,10,54,0,0
ryotsu,jp,38,138,5,100,75,4
bambous virieux,mu,-20,57,23,94,75,2
sistranda,no,63,8,4,86,75,6
tashara,ru,55,83,-24,59,32,1
a,no,,,,,,
kibaya,tz,-2,30,17,100,90,1
tumannyy,ru,,,,,,
kamyzyak,ru,46,48,-4,92,64,5
artigas,uy,-30,-56,23,53,36,1
xiongzhou,cn,32,118,4,93,90,2
atherton,au,53,-2,5,93,75,1
darovskoy,ru,58,47,-5,92,88,2
grand river south east,mu,,,,,,
brindisi,it,40,17,11,62,40,6
severomuysk,ru,56,113,-34,41,36,0
mondlo,za,-27,30,14,100,92,3
bejar,es,40,19,7,100,80,0
rzhyshchiv,ua,49,31,-1,100,90,6
chickasha,us,35,-97,2,63,1,2
monterey,us,36,-121,13,79,1,1
mizpe ramon,il,,,,,,
kanungu,ug,0,29,13,100,80,1
mineral wells,us,32,-98,5,75,1,3
nyagan,ru,62,65,-8,87,24,2
anshun,cn,26,105,-2,98,92,2
camaragibe,br,-8,-34,27,83,75,5
samusu,ws,,,,,,
santa engracia,mx,41,-1,9,75,40,5
keta,gh,5,0,29,83,20,2
kazanka,ua,47,32,1,100,90,1
ritto,jp,35,135,5,75,75,1
platteville,us,42,-90,-5,89,1,1
indi,in,17,75,22,83,100,2
shush,ir,55,89,-25,64,12,1
camacari,br,-12,-38,28,83,40,3
voyvozh,ru,62,54,-7,85,80,3
yatou,cn,3,9,26,94,75,0
amahai,id,-3,129,29,100,20,3
jiutai,cn,44,125,-20,70,0,1
tapes,br,-30,-51,21,67,56,3
twin falls,us,42,-114,0,74,1,4
lalibela,et,12,39,5,93,0,1
yokadouma,cm,3,15,19,88,8,0
erdemli,tr,,,,,,
deputatskiy,ru,69,139,-42,0,8,1
bekhtery,ua,46,32,4,100,92,1
burla,ru,53,78,-19,77,32,3
poplar bluff,us,36,-90,1,53,1,4
carikar,af,,,,,,
santo tomas,pe,15,120,24,89,0,1
aleksandrovka,ru,46,38,2,88,88,6
afgoye,so,,,,,,
marevo,ru,43,18,0,93,40,1
kazachinskoye,ru,57,93,-17,71,92,2
takayama,jp,36,137,1,70,20,1
tshikapa,cd,-6,20,21,97,56,1
lagoa,pt,37,-8,10,87,0,2
utevka,ru,52,50,-6,98,56,2
zhangjiakou,cn,40,114,-18,64,56,0
monteagudo,bo,-19,-63,19,89,100,0
coria,es,39,-6,2,81,0,1
beni,cd,0,29,17,94,24,1
mau,in,25,83,11,86,0,1
gurupa,br,,,,,,
villazon,bo,,,,,,
pouso alegre,br,-22,-45,20,60,80,2
esfarayen,ir,37,57,1,100,12,0
taiyuan,cn,37,112,-10,72,8,1
ibra,om,22,58,11,90,0,0
nampa,us,43,-116,1,93,1,4
sholavandan,in,,,,,,
pelym,ru,61,62,-13,83,44,1
atocha,bo,-1,-78,9,73,56,0
djambala,cg,-2,14,20,97,80,1
cootamundra,au,-34,148,22,83,92,1
clearwater,us,27,-82,19,82,90,4
nizhnyaya salda,ru,58,60,-11,84,64,1
kingussie,gb,57,-4,2,86,64,5
dno,ru,57,29,0,94,88,4
weyburn,ca,49,-103,-10,83,0,3
parrita,cr,9,-84,20,64,20,6
beaune,fr,47,4,7,87,0,3
jertih,my,5,102,25,100,75,1
kaabong,ug,3,34,13,92,64,0
mangan,in,27,88,-10,75,44,0
cumra,tr,37,32,6,70,75,2
bida,ng,9,6,24,78,0,1
mae hong son,th,19,97,21,88,20,1
yurimaguas,pe,-5,-76,25,78,0,1
oyama,jp,36,139,5,48,75,2
killorglin,ie,52,-9,7,87,36,2
tlahualilo,mx,,,,,,
sveti nikole,mk,41,21,-1,92,75,1
los zacatones,mx,22,-102,15,47,20,1
tongling,cn,30,117,3,100,92,2
leticia,co,-4,-69,24,100,40,1
churapcha,ru,62,132,-35,57,32,1
segou,ml,12,-12,18,40,0,2
tena,ec,0,-77,15,99,68,0
verkhovazhye,ru,60,42,-7,85,64,5
glyadyanskoye,ru,54,65,-28,28,0,1
cedar rapids,us,41,-91,-5,91,1,1
kalga,ru,50,118,-35,0,0,1
azad shahr,ir,,,,,,
winnemucca,us,40,-117,-1,81,90,3
tocache,pe,-8,-76,16,88,64,0
orbetello,it,42,11,14,76,0,3
nevsehir,tr,38,34,6,70,75,2
ceahlau,ro,47,25,-5,93,68,1
orodara,bf,10,-4,24,36,0,2
nazare,br,,,,,,
